"company","Company_Status","location","location_Status","industry","Industry_Status","total_laid_off","layoffs_Status","percentage_laid_off","Percentage_Status","date","Date_Status","year","Year_Status","Month","Month_Status","stage","country","funds_raised_millions","Funds_Status"
"&OPEN","Reported","DUBLIN","Reported","MARKETING","Reported","9","Reported","0.09","Reported","2022-11-17","Reported","2022","Reported","11","Reported","SERIES A","IRELAND","35.00","Reported"
"#PAID","Reported","TORONTO","Reported","MARKETING","Reported","19","Reported","0.17","Reported","2023-01-27","Reported","2023","Reported","1","Reported","SERIES B","CANADA","21.00","Reported"
"100 THIEVES","Reported","LOS ANGELES","Reported","CONSUMER","Reported","12","Reported","0.00","missing","2022-07-13","Reported","2022","Reported","7","Reported","SERIES C","UNITED STATES","120.00","Reported"
"100 THIEVES","Reported","LOS ANGELES","Reported","RETAIL","Reported","0","missing","0.00","missing","2023-01-10","Reported","2023","Reported","1","Reported","SERIES C","UNITED STATES","120.00","Reported"
"10X GENOMICS","Reported","SF BAY AREA","Reported","HEALTHCARE","Reported","100","Reported","0.08","Reported","2022-08-04","Reported","2022","Reported","8","Reported","POST-IPO","UNITED STATES","242.00","Reported"
"1STDIBS","Reported","NEW YORK CITY","Reported","RETAIL","Reported","70","Reported","0.17","Reported","2020-04-02","Reported","2020","Reported","4","Reported","SERIES D","UNITED STATES","253.00","Reported"
"2TM","Reported","SAO PAULO","Reported","CRYPTO","Reported","90","Reported","0.12","Reported","2022-06-01","Reported","2022","Reported","6","Reported","UNKNOWN","BRAZIL","250.00","Reported"
"2TM","Reported","SAO PAULO","Reported","CRYPTO","Reported","100","Reported","0.15","Reported","2022-09-01","Reported","2022","Reported","9","Reported","UNKNOWN","BRAZIL","250.00","Reported"
"2U","Reported","WASHINGTON D.C.","Reported","EDUCATION","Reported","0","missing","0.20","Reported","2022-07-28","Reported","2022","Reported","7","Reported","POST-IPO","UNITED STATES","426.00","Reported"
"54GENE","Reported","WASHINGTON D.C.","Reported","HEALTHCARE","Reported","95","Reported","0.30","Reported","2022-08-29","Reported","2022","Reported","8","Reported","SERIES B","UNITED STATES","44.00","Reported"
